company,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
Nintendo,"RT @weather0witch: <U+0001F496><U+2728><U+0001F355><U+0001F49A>
Have a Pizza Delivery girl Uramiko for your timeline! 
Also the CatGirl Without Salad animated short is set to rele…",FALSE,0,NA,10/1/2020 7:24,FALSE,NA,1.31157E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Treny_Dogg3,36,TRUE,FALSE,NA,NA
Nintendo,"RT @mvouchercodes1: Nintendo Switch Giveaway 2020 - Participate To Win for Free!

RT&amp;F for a chance to #win a #NintendoSwitchOnline 
@mvouc…",FALSE,0,NA,10/1/2020 7:24,FALSE,NA,1.31157E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",helen1154,91,TRUE,FALSE,NA,NA
Nintendo,"RT @DingityDingus: That’s a whole lotta Mario!
#Mario #Nintendo #Sketches https://t.co/7Pf4JOy5Kh",FALSE,0,NA,10/1/2020 7:24,FALSE,NA,1.31157E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",pixelatedghostz,80,TRUE,FALSE,NA,NA
Nintendo,"RT @mvouchercodes1: Nintendo Switch Giveaway 2020 - Participate To Win for Free!

RT&amp;F for a chance to #win a #NintendoSwitchOnline 
@mvouc…",FALSE,0,NA,10/1/2020 7:23,FALSE,NA,1.31157E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kloubear88,91,TRUE,FALSE,NA,NA
Nintendo,"I Have Started Uploading Videos on My Youtube Channel Again, Subscribe and Enjoy https://t.co/IuUokYh7nK #Youtube… https://t.co/SnfnS4CRHL",FALSE,0,NA,10/1/2020 7:23,TRUE,NA,1.31157E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GameSlayer63,0,FALSE,FALSE,NA,NA
Nintendo,RT @wegotthegun: @animalcrossing update and pay day - what a happy afternoon.  Can’t wait to get some candies in the game and irl <U+0001F923><U+0001F36C> #fun #…,FALSE,0,NA,10/1/2020 7:23,FALSE,NA,1.31157E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wegotthegun,1,TRUE,FALSE,NA,NA
Nintendo,"15 bucks -------- RT if good deal | like if like! #eBay #deal #Nintendo #GameBoyAdvance #GBA #PokemonSapphire 
<U+0001F517>… https://t.co/TVYOUhInRq",FALSE,0,NA,10/1/2020 7:22,TRUE,NA,1.31157E+18,NA,"<a href=""https://twitter.com/DealDonkeyUS"" rel=""nofollow"">Deal Donkey Final</a>",DealDonkeyUS,0,FALSE,FALSE,NA,NA
Nintendo,"80 bucks -------- RT if good deal | like if like! #eBay #deal #Nintendo #Nintendo3DS #3DS 
<U+0001F517> https://t.co/bXcSqVJFdR https://t.co/gDNJLciBQY",FALSE,0,NA,10/1/2020 7:22,FALSE,NA,1.31157E+18,NA,"<a href=""https://twitter.com/DealDonkeyUS"" rel=""nofollow"">Deal Donkey Final</a>",DealDonkeyUS,0,FALSE,FALSE,NA,NA
Nintendo,"RT @WoodenPlankST: Yay pumpkins!
#AnimalCrossingNewHorizons #acnh #nintendo #NintendoSwitch https://t.co/zhQdPTUvBr",FALSE,0,NA,10/1/2020 7:22,FALSE,NA,1.31157E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SalsaSauce64,1058,TRUE,FALSE,NA,NA
Nintendo,"RT @PushDustIn: On this day in 2007, Lucas was revealed for Brawl. Initially many fans were worried he would outright replace Ness.

#PushF…",FALSE,0,NA,10/1/2020 7:22,FALSE,NA,1.31157E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CedricThePS,96,TRUE,FALSE,NA,NA
